Gender,First Name (Devanagari),Middle Name (Devanagari),Last Name (Devanagari),First Name (Roman),Middle Name (Roman),Last Name (Roman),Alternative Roman Spellings
1,बिनोद,,तामाङ्ग,Binod,,Tamang,"Binod Tamang, Binod Taman, Binod . Tamang"
0,शान्ता,,बुढा,Shanta,,Budha,"Shanta  Budhaa, Shanta Buda, S. Budha"
0,देउ,माया,राई,Deu,Maya,Rai,"Deu Rai, Deu Ra, Deu M. Rai"
1,श्‍याम,बहादुर,थिङ,Shyam,Bahadur,Thing,"Shyam B. Thing, Shyam Thing, Shyam Ting"
1,जिवन,,लामा,jivan,,lama,"jivan lam, jivan lama, jivan  laamaa"
0,मिना,कुमारी,चौधरी,Meena,Kumari,Chaudhary,"Meena Caudary, Meena Kumari Chaudhari, Meena Kumari Chaaudhaary"
0,शुशिला,,भण्डारी,Shushila,,Bhandari,"Shushila  Bhandari, Shushila  Bhaandaari, S. Bhandari"
0,हेम,कुमारी,चौधरी,Hem,Kumari,Chowdhary,"Hem Kumari Chowdhaary, Hem Kumari Chowdhari, Hem K. Chowdhary"
1,क्षन्द्र,,तामाङ,ksandra,,tamaang,"ksandra tamaan, ksandra  tamaang, k. tamaang"
0,विर्मा,,कामी,Virma,,Kami,"Virma Kam, Virma . Kami, Virma  Kaami"
0,परेम,कली,देवी,parem,kali,devi,"parem devi, parem k. devi, p. devi"
1,मनोज,,राई,Manoj,,Rai,"Manoj Ra, Manoj . Rai, Manoj  Rai"
1,मान,बहादुर,दर्लामी,Maan,Bahadur,Darlami,"Maan Darlam, M. Darlami, Maan Bahadur Daarlaami"
0,रिया,,अग्रवाल,Riya,,Agarwal,"Riya Agarwa, R. Agarwal, Riya . Agarwal"
1,कुन्दन,,चौधरी,Kundan,,Chowdhary,"K. Chowdhary, Kundan  Chowdhaary, Kundan Cowdary"
0,छमाली,,डाँगी,chhamali,,dangi,"chhamali dangi, c. dangi, chhamali  daangi"
0,दमन्ती,,के.सी.,Damanti,,K.C.,"Damanti  K.C., Damanti K.C, D. K.C."
1,देब,लभ,महर्जन,debt,profit,margin,"debt p. margin, debt profit margin, debt profit maargin"
1,डम्मर,बहादुर,बिष्ट,Dammar,Bahadur,Bisht,"Dammar B. Bisht, Dammar Bisht, Dammar Bist"
0,लाली,,तामाङ,Lali,,Tamang,"Lali . Tamang, Lali Tamang, Lali  Taamaang"
0,लक्ष्मी,,वि.क,Laxmi,,V.K,"Laxmi . V.K, Laxmi  V.K, L. V.K"
0,शान्‍ती,,गिरी,peace,,fell,"peace fell, peace . fell, peace fel"
1,अजय,प्रसाद,पटेल,Ajay,Prasad,Patel,"Ajay P. Patel, A. Patel, Ajay Patel"
